benua,negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Amerika,Guatemala,NA,NA,519.2,0,0,380.8,NA,NA,NA,0,NA,NA,NA,NA,NA
Amerika,Jamaica,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
Amerika,Kanada,147932.1,2244.2,8544.2,123827.9,164205.9,103459.3,99815.7,85652.2,170769.3,186267.4,175287,182090.7,250428.2,357785.7,198170.8
Amerika,Kepulauan Cayman,11607.8,7267.5,29308.7,118683,28486.4,30499,200916.4,219702.4,250837.3,175640.9,182898.6,115283.1,143765.3,83787.2,141497.8
Amerika,Kepulauan Virgin Inggris,1615906.4,517148.7,855900.2,785709.4,623995.7,730521.9,1157266.3,844828,1043255.7,743785.5,334339.1,345193,423312.1,652146,394687.6
Amerika,Kolumbia,NA,NA,NA,NA,NA,0,424.5,149.5,245.8,942.7,14.7,23.6,0,136.3,6.4
Amerika,Meksiko,NA,0,0,0,0,0,0,609,324.4,332,51.5,49.2,964.9,1039.4,478.7
Amerika,Nicaragua,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
Amerika,Panama,172.3,51.6,0,3850.1,0,526.2,13046.1,3882.9,100709.9,23425.9,537.9,1206,191.5,1062.8,83.2
Amerika,Peru,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,7.5,751.1,1150.7,749.5
Amerika,Puerto Rico,NA,NA,4569.5,4703.9,576.5,NA,128.1,0,0,NA,0,10,NA,NA,NA
Amerika,Saint Kitts dan Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,4.9
Amerika,Suriname,NA,NA,NA,NA,NA,NA,0,231.4,0,NA,NA,NA,NA,2795.1,6.3
Amerika,Trinidad dan  Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3203.7
Amerika,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,2191.6,200,0,135.9,NA,6.1,2.6
Amerika,Venezuela,NA,NA,NA,NA,NA,251.5,894.6,1009.9,15,0,0.1,NA,3.4,247.4,5.4
Asia,Afghanistan,NA,NA,566.7,250,42286.7,9588.3,12303.1,205.4,113.5,238.3,163.5,0,0,1088.9,48.1
Asia,Bahrain,NA,NA,NA,NA,NA,0,848.8,664.2,86.6,0,0,NA,NA,267.8,0
Asia,Bangladesh,NA,NA,NA,NA,500,350,288.7,438.6,384.2,400.1,114.7,46.3,1298.1,1609.5,1555.8
Asia,Brunei Darussalam,15,11764.3,1.7,1200,810,0,1595.7,8538.4,508.5,532.9,0.3,0,0.9,204.4,232.2
Asia,"Hongkong, RRT",566102.6,135013.9,309607.1,376237.8,657256.6,937198.3,2248333.2,2116517.4,2011424.7,2890992.3,3535896.6,4609341.9,5514193.2,6504785.5,3812087.4
Asia,India,8883.1,41908.7,78135.9,64963.2,37143,57178.4,55039.2,286615.2,82124,58272.3,57625.9,49575.7,127596.9,275380.6,102131.4
Asia,Irak,NA,0,400,600,350,700,2672.6,1717.2,49.1,106.9,10,0,383.3,451,938.8
Asia,Iran,5,502.5,1450,3316.7,714.8,NA,14297.8,11509.1,298.7,325.1,61.6,48.8,228.1,932.6,765.7
Asia,Israel,NA,NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA,45.8,7.5
Asia,Jepang,712599,1516063.1,2456940.9,4712894,2705131.3,2876990.1,5400906.4,4996158.2,4952770.5,4310906.8,2588016.1,2263229.2,3562794,4639450.4,1793562.3
Asia,Kamboja,NA,NA,NA,NA,100,NA,200,200,NA,NA,NA,NA,NA,0,0
Asia,Kazakhstan,NA,NA,NA,NA,NA,NA,0,1107.2,205.3,0,0,5.2,14.4,627.2,2056.2
Asia,Khyrgistan,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,10.4,223.3
Asia,Korea Selatan,328506.7,1218726.4,1949704.1,2205480,1126618.7,1213468.9,1065803.7,2024621,1604718.8,1070212.5,1841946.3,1640156.4,2297835.1,2543599.7,1768181.2
Asia,Korea Utara,NA,NA,NA,NA,NA,NA,NA,NA,5645.3,NA,NA,NA,NA,NA,NA
Asia,Kuwait,NA,0,NA,NA,NA,NA,3566.6,710,500.7,145.7,83.2,576.4,1018.5,480.5,132.8
Asia,Lebanon,NA,99.8,8.5,200,857.4,560,737.6,280.3,44.8,1011,693.8,345.2,170.4,1197.9,806.2
Asia,Makao,0,NA,NA,NA,NA,NA,99.1,350.5,1105,0,0,0,NA,0,0
Asia,Maladewa,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,35.8,72.9
Asia,Malaysia,472094.5,618328.4,529583.2,711261.3,1776320.2,3076974.8,1115563.2,1213632,1774900.5,1357478.5,1045271,1364326.2,3343265.7,4060169.5,1730108.2
Asia,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,3.7
Asia,Myanmar,NA,NA,NA,NA,NA,NA,9.8,600,NA,NA,0,0,0,3.5,26.8
Asia,Nepal,1400,1400,1150,NA,10,NA,0,NA,0,0,NA,NA,0.1,186.6,2096.4
Asia,Oman,80,131.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
Asia,Pakistan,985,350,166.7,2390,2476.6,1706.7,4755.8,7794.3,3992.3,1162.6,177.7,71.5,5891.2,5003.7,7556.8
Asia,Palestina,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,9.7,112.6,22.9,100.1,23.3
Asia,Philipina,49614.3,1519.6,6061.3,5800.3,11512.4,144.8,31714.2,73550,15393.9,9568.3,159.5,70023.1,14121.3,46736.3,21397.4
Asia,Qatar,0,2.5,0,NA,NA,1.4,0,NA,200,NA,6935.6,16250,287.8,1367.9,318
Asia,R.R. Tiongkok,173646.2,128229.9,140969.1,296882.9,800029.3,628337.3,2665297.1,3361230.5,2376537.6,4744508.6,4842405.8,3160380.1,8226035.1,7438379.1,3918006.8
Asia,Republic of Maldives,NA,NA,NA,NA,115,NA,0,0,0,NA,NA,0,NA,NA,NA
Asia,Saudi Arabia,0,80,0,400,2896.4,30355.5,939.6,3536.3,5359.2,5408.2,5745,3639.7,1743.1,7148.2,1093.5
Asia,Singapura,5565017.2,5123044.9,4856351.1,4670782.3,5832129.3,5901181.2,9178691.8,8441563.6,9193183,6509628.1,9779105.6,9390063.4,13281113.3,15355234.6,8859303.6
Asia,Sri Lanka,NA,5,0,NA,NA,212.5,89.7,3435.4,7.5,6741.4,2016.4,93.1,6984.9,9894.4,70.1
Asia,Suriah,0,NA,NA,NA,NA,16,310,4780.3,783.1,1023.1,0,918,1956.2,1909.2,149.7
Asia,Taiwan,47479.7,243174.7,646948.4,402636.4,114669.5,107945.4,149064.9,397028.9,210222.8,181088.5,454344.1,316854.7,236735.6,190114.3,97816.2
Asia,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5145.1,9.8,NA,0
Asia,Thailand,45170.6,87166.3,68026,106824.7,317729.1,174168.2,338210.1,220211.9,396332.2,342815.3,112105.1,450289.1,209285.6,185857.9,224549.5
Asia,Timor Leste,NA,NA,NA,0,NA,NA,NA,149.3,74.6,NA,NA,NA,NA,9.4,NA
Asia,Uni Emirat Arab,6249.6,6830.5,32351.5,22967.6,25365,19253.8,55031.8,26624.9,69942.7,69733,21577.5,16149.2,22883,68858.1,11687.4
Asia,Uzbekistan,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,393.9,26.5,407.6,82.5
Asia,Vietnam,NA,NA,NA,NA,22.3,55,0,113.9,0,88,39.1,0,23.8,2098.9,7682.2
Asia,Yaman,NA,NA,109.1,26,NA,7118.1,751.4,2600,6560.5,3187.2,1865,356.4,3309.6,17137.7,5566.6
Asia,Yordania,NA,1116.2,19866.8,211887.5,3139.2,232.6,1623,2504.6,3378.8,1401,1024,312.8,602.8,2552.8,1193.6
Australia,Australia,214209.5,89699.1,743592.2,226426,647273.5,167967.9,174704.5,513865.5,597437.8,348265.8,348553.3,195195.5,524408.5,545190.9,284873.7
Australia,Fiji,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,0,0,NA,NA,NA
Australia,Kepulauan Cook,NA,NA,NA,NA,NA,2470,31,1684.4,3901.9,6449.3,1127,749.7,19391.1,2543.7,1111.3
Australia,Kepulauan Marshall,NA,NA,330.2,2400,4779.3,13818.1,1368.4,3079.3,386520.3,154636.9,19578.7,7427.6,1154.8,12970.1,11165.8
Australia,Kepulauan Virgin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.5,97.1,142.6
Australia,Papua Nugini,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0.7,0
Australia,Republik Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.1,NA,NA
Australia,Samoa Amerika,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.5,16837.8,50044.4,38878.7,7108
Australia,Samoa Barat,22024,22435.6,1497.1,4255.8,15325.5,3711.1,15324.4,3739.8,13631.1,7131.6,7083.5,7896.2,73423.9,62855.9,107803.6
Australia,Selandia Baru,3000,0,0,446,17536.2,17186.2,17074.4,15131.7,9280.9,3242.5,13387.9,8181.6,3700.1,11945.4,7499
