Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2016,3.6," (adjusted for inflation, 2023 dollars)",,$3.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2017,0.4," (adjusted for inflation, 2023 dollars)",,$0.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2018,0.4," (adjusted for inflation, 2023 dollars)",,$0.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2019,1.5," (adjusted for inflation, 2023 dollars)",,$1.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2020,2.2," (adjusted for inflation, 2023 dollars)",,$2.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2021,6.5," (adjusted for inflation, 2023 dollars)",,$6.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2022,0.1," (adjusted for inflation, 2023 dollars)",,$0.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2004,73.4," (adjusted for inflation, 2023 dollars)",,$73.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2005,211.7," (adjusted for inflation, 2023 dollars)",,$211.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2006,417," (adjusted for inflation, 2023 dollars)",,$417.0M,$819.6B,,$819604.4B,0
