Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
,SACD,Value,2020,0.2,,,$0.2M,$434.2B,,$434198.2B,0
,SACD,Value,2021,0.2,,,$0.2M,$434.2B,,$434198.2B,0
,SACD,Value,2022,0.2,,,$0.2M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2004,6.9,,,$6.9M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2005,20.4,,,$20.4M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2006,32.8,,,$32.8M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2007,36.2,,,$36.2M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2008,100,,,$100.0M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2009,155.5,,,$155.5M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2010,249.2,,,$249.2M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2011,292,,,$292.0M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2012,462,,,$462.0M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2013,590.4,,,$590.4M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2014,773.4,,,$773.4M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2015,802.6,,,$802.6M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2016,883.9,,,$883.9M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2017,652,,,$652.0M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2018,952.8,,,$952.8M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2019,908.2,,,$908.2M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2020,947.4,,,$947.4M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2021,992.5,,,$992.5M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2022,959.4,,,$959.4M,$434.2B,,$434198.2B,0
,SoundExchange Distributions,Value,2023,1004.8,,$1.0B,,$434.2B,,$434198.2B,0
,Synchronization,Value,2009,201.2,,,$201.2M,$434.2B,,$434198.2B,0
,Synchronization,Value,2010,188.7,,,$188.7M,$434.2B,,$434198.2B,0
,Synchronization,Value,2011,196.5,,,$196.5M,$434.2B,,$434198.2B,0
,Synchronization,Value,2012,190.6,,,$190.6M,$434.2B,,$434198.2B,0
,Synchronization,Value,2013,189.7,,,$189.7M,$434.2B,,$434198.2B,0
,Synchronization,Value,2014,189.7,,,$189.7M,$434.2B,,$434198.2B,0
,Synchronization,Value,2015,202.9,,,$202.9M,$434.2B,,$434198.2B,0
,Synchronization,Value,2016,214.8,,,$214.8M,$434.2B,,$434198.2B,0
,Synchronization,Value,2017,232.1,,,$232.1M,$434.2B,,$434198.2B,0
,Synchronization,Value,2018,285.5,,,$285.5M,$434.2B,,$434198.2B,0
,Synchronization,Value,2019,281.1,,,$281.1M,$434.2B,,$434198.2B,0
,Synchronization,Value,2020,265.2,,,$265.2M,$434.2B,,$434198.2B,0
,Synchronization,Value,2021,306.5,,,$306.5M,$434.2B,,$434198.2B,0
,Synchronization,Value,2022,382.5,,,$382.5M,$434.2B,,$434198.2B,0
,Synchronization,Value,2023,410.9,,,$410.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1973,190,,,$190.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1974,194,,,$194.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1975,211.5,,,$211.5M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1976,245.1,,,$245.1M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1977,245.1,,,$245.1M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1978,260.3,,,$260.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1979,353.6,,,$353.6M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1980,250,,,$250.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1981,256.4,,,$256.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1982,283,,,$283.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1983,269.3,,,$269.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1984,298.7,,,$298.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1985,281,,,$281.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1986,228.1,,,$228.1M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1987,203.3,,,$203.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1988,180.4,,,$180.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1989,116.4,,,$116.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1990,94.4,,,$94.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1991,63.9,,,$63.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1992,66.4,,,$66.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1993,51.2,,,$51.2M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1994,47.2,,,$47.2M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1995,46.7,,,$46.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1996,47.5,,,$47.5M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1997,35.6,,,$35.6M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1998,25.7,,,$25.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,1999,27.9,,,$27.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2000,26.3,,,$26.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2001,31.4,,,$31.4M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2002,24.9,,,$24.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2003,21.5,,,$21.5M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2004,19.9,,,$19.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2005,13.2,,,$13.2M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2006,9.9,,,$9.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2007,4,,,$4.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2008,2.9,,,$2.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2009,2.5,,,$2.5M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2010,2.3,,,$2.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2011,4.6,,,$4.6M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2012,4.7,,,$4.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2013,3,,,$3.0M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2014,5.5,,,$5.5M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2015,5.8,,,$5.8M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2016,4.9,,,$4.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2017,6.1,,,$6.1M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2018,5.7,,,$5.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2019,6.7,,,$6.7M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2020,6.3,,,$6.3M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2021,7.9,,,$7.9M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2022,5.6,,,$5.6M,$434.2B,,$434198.2B,0
,Vinyl Single,Value,2023,8.4,,,$8.4M,$434.2B,,$434198.2B,0
